影	picture/image/reflection/shadow	yǐng
榆	elm	yú
疡	ulcers/sores	yáng
饷	soldier's pay	xiǎng
殉	buried with dead/die for a cause	xùn
斐	(phonetic)/(surname)/elegant	fěi
洽	accord/make contact	qià
邸	(surname)/lodging-house	dǐ
骡	mule	luó
瘟	epidemic/pestilence/plague	wēn
眸	pupil of the eye	móu
畸	fractional remains/odd	jī
犁	plow	lí
膳	meals	shàn
伎	craft	jì
酱	jam/thick sauce	jiàng
侈	extravagant/wasteful/exaggerating	chǐ
熏	to smoke/scent/fumigate	xūn
敝	my (polite)/poor/ruined/shabby/worn out/defeated	bì
娴	elegant/refined	xián
憋	hold in (urine)/to hold (breath)/to choke/stifle/restrain/hold back	biē
笠	bamboo rain hat	lì
淌	drip/to shed (tears)	tǎng
檐	eaves	yán
茸	confused/fluffy/luxuriant growth	róng
疮	sore/skin ulcer	chuāng
喽	subordinates in gang of bandits, (part. expressing chagrin or resentment)	lóu/lou
霎	all of a sudden/drizzle	shà
炕	kang (a heatable brick bed)	kàng
浊	impure/muddy	zhuó
懦	imbecile/timid	nuò
剃	shave, shave/to weed	tì
琛	precious stone/gem	chēn
跄	walk rapidly, stagger/sway from side to side	qiāng/qiàng
揣	put into, estimate/guess/figure/surmise	chuāi/chuǎi
屉	drawer/tier/tray	tì
嗤	laugh at/jeer/scoff at/sneer at	chī
侬	you (Shanghai dial.)	nóng
矗	lofty/upright	chù
糙	rough/coarse (in texture)	cāo
忖	ponder/consider/guess	cǔn
扛	lift overhead with both hands, carry on one's shoulder	gāng/káng
辫	a braid or queue/to plait	biàn
绎	continuous/explain/unravel	yì
眺	gaze afar	tiào
闽	(N) abbreviation for Fujian Province	mǐn
捅	poke through	tǒng
邑	city	yì
裴	(surname)	péi
匣	box	xiá
磋	deliberate/to polish	cuō
豚	suckling pig	tún
呃	hiccough	è/e
佟	(surname)	tóng
鲤	carp	lǐ
汀	sand-bank	tīng
疤	scar	bā
佬	male/man (Cantonese)	lǎo
绽	ripped seam	zhàn
蟹	crab	xiè
烘	bake/heat by fire	hōng
薯	potato/yam	shǔ
嚎	howl/bawl	háo
颌	maxilla and mandible	hé
亥	12th earthly branch/9-11 p.m.	hài
镕		róng
猝	abrupt/hurried	cù
杠	footbridge, carrying pole/horizontal bar	gāng/gàng
兢	to be fearful/apprehensive	jīng
嘀	backbite	dí/dī
蝠	bat	fú
缎	satin	duàn
穗	ear of grain	suì
阮	Ruan (a surname)	ruǎn
炫	dazzle/to show off, to boast/to show off	xuàn
臀	butt/buttocks	tún
椒	pepper	jiāo
峭	steep hill	qiào
揪	to clutch	jiū
氯	chlorine	lǜ/lǜ
祠	ancestral hall/temple	cí
绫	damask/thin silk	líng
徊	irresolute/move back and forth	huái
疚	chronic disease	jiù
凛	shiver with cold or fear	lǐn
湛	deep/clear (water)	zhàn
擎	to raise (hand)	qíng
饵	bait/cakes	ěr
瀑	shower (rain), waterfall	bào/pù
蕊	stamen/pistil	ruǐ
谒	to visit (a superior)	yè
噬	devour/to bite	shì
澈	clear (water)/thorough	chè
粤	Cantonese/Guangdong	yuè
潇	river name/sound of rain and wind	xiāo
睦	friendly	mù
酶	enzyme/ferment	méi
朕	I/we (imperial use)/subtle	zhèn
醋	vinegar	cù
倭	Japanese/dwarf	wō
铲	level off/root up, spade/shovel	chǎn
慑	afraid/be feared/to fear/to frighten/to intimidate	shè
镶	to inlay/to embed/ridge/border	xiāng
曳	drag	yè
羁	halter/restrain	jī
拚	disregard/reject, stake all	pàn/pīn
舵	helm/rudder	duò
蜘	spider	zhī
槐	Sophora japonica	huái
靴	boots	xuē
眷	concern/wife and children	juàn
嗦	suck	suō
陇	Gansu	lǒng
肋	rib	lèi
酝	to brew	yùn
踌	pace back and forth/hesitate/waver	chóu
悖	perverse/rebellious/to rebel	bèi
蹬	step into (as tight shoe)	dèng/dēng
韧	annealed/pliable but strong/tough/tenacious	rèn
舔	to lick/to lap	tiǎn
拷	to beat/to flog/to examine by torture	kǎo
邢	(surname)/place name	xíng
渣	dregs	zhā
霄	firmament/heaven	xiāo
眶	eye socket	kuàng
锯	to mend (china) with staples, a saw/to saw	jū/jù
恤	give relief/sympathy	xù
钊	encourage/to cut/to strain	zhāo
宵	night	xiāo
洼	winding ditch, depression/sunken/swamp	wā
禺	(place)/district	yú
梧	Sterculia platanifolia	wú
疹	measles/rash	zhěn
肇	at first/devise/originate	zhào
瞩	to gaze at/to stare at	zhǔ
绷	to stretch/taut/to tie/to bind, to have a taut face	bēng/běng
隘	a pass or defile/narrow/confined/in distress	ài
阱	hole/pitfall	jǐng
肪	animal fat	fáng
匕	an ancient type of spoon, dagger/ladle	bī/bǐ
峨	lofty/name of a mountain	é
拴	tie up	shuān
蝗	locust	huáng
梨	pear	lí
龚	(surname)	gōng
柿	persimmon	shì
翩	fly fast	piān
嘘	exhale/hiss	xū
挚	(surname)/sincere	zhì
蕾	bud	lěi
咪	sound to call cat	mī
汲	draw water from well	jí
赂	bribe/bribery	lù
闸	gear/watergate	zhá
挛	twisted/bent/crooked/cramped	luán
葫	Allium scorodoprasum/bottle gourd	hú
搓	to rub or roll between the hands or fingers/to twist	cuō
赣	Jiangxi	gàn
肮	filthy, dirty/filthy	āng
簧	metallic reed/spring of lock	huáng
肘	elbow/pork shoulder	zhǒu
赦	to pardon (a convict)	shè
窖	cellar	jiào
诅	curse/swear (oath)	zǔ
淀	shallow water, sediment/precipitate	diàn
茄	eggplant	qié
紊	involved/tangled/disorder, involved/tangled	wěn/wèn
谤	to slander/defame/speak ill of	bàng
拧	to pinch/wring, mistake/to twist, stubborn	níng/nǐng/nìng
菁	flower of leek	jīng
扳	to pull or draw (up or out), climb up/pull	bān/pān
璋	ancient stone ornament	zhāng
咙	throat	lóng
咆	to roar	páo
夭	tender/gentle/to die prematurely	yāo
盔	helmet	kuī
戎	(surname)/weapon	róng
侃	bold	kǎn
坞	dock/low wall	wù
蕉	banana	jiāo
徘	irresolute	pái
槽	manger/trough/groove	cáo
薇		wēi
牡	male	mǔ
隧	subterranean/underground passage	suì
鞠	to bring up/to rear/Ju (a surname)	jū
戟	a lance with two points	jǐ
哽	choking	gěng
蛟	scaly dragon	jiāo
胥	all/assist/to store	xū
皿		mǐn
渍	saturate/soak	zì
彗	comet	huì
嫡	first wife/son of first wife	dí
帚	broom	zhǒu
渤	Gulf of Chili	bó
浒	bank of a river	hǔ
奚	what why	xī
汞	mercury	gǒng
狞	fierce-looking	níng
嗖		sōu
晏	(surname)/late/quiet	yàn
禾	cereal/grain	hé
翎	tail feathers	líng
辄	sides of chariot where weapons	zhé
偎	to cuddle	wēi
溉	irrigate	gài
毗	adjoin/border	pí
幡	banner	fān
筐	basket	kuāng
娼	prostitute	chāng
纶	classify/silk thread/twist silk	lún
螅	(intestinal worm)	xī
奄	castrate/to delay, suddenly/to embrace	yān/yǎn
珑	tinkling of gem-pendants	lóng
掐	pick (flowers)/to pinch	qiā
袅	delicate/graceful	niǎo
聆	apprehend/hear/listen	líng
祟	evil spirit	suì
咏	sing	yǒng
谚	proverb	yàn
彝	normal nature of man/rule	yí
悻	angry	xìng
檀	sandal wood	tán
辗	roll over on side/turn half over	zhǎn/niǎn
俟	until/wait for	sì
揍	beat up/break to pieces	zòu
敖	ramble	áo
簸	to winnow, dust pan/toss (as waves)	bǒ/bò
汾	name of a river	fén
俐	clever	lì
撩	lift up (skirt)/pull up (sleeve), stitch/take/tease	liāo/liáo
嫣	captivating	yān
梓	Catalpa kaempferi	zǐ
藐	despise/small	miǎo
漱	to rinse (mouth)	shù
浚	deepen/enlighten/profound	jùn/xùn
悴	haggard/sad/downcast/distressed	cuì
讹	error/exhort/false	é
幔	curtain	màn
穹	arched/lofty/vast	qióng
睫	eyelashes	jié
痊	recover (from illness)	quán
碘	iodine	diǎn
麓	foot of a hill	lù
惦	think of, remember, miss	diàn
盎	abundant/bowl/dish/pot	àng
笋	bamboo shoot	sǔn
啧	(interj. of admiration or of disgust)/to click one's tongue/to attempt to (find an opportunity to) speak	zé
胺	amine	àn
缭	lines for a sail/wind round	liáo
啄	to peck	zhuó
驮	carry on back, carry on back	duò/tuó
骷	skeleton	kū
潦	flooded/heavy rain	lǎo/liáo
偕	in company with, in company with	jiē/xié
楠	Machilus nanmu	nán
刁	artful/wicked	diāo
坯	unburnt earthenware	pī
蹭	rub, rub against/walk slowly	céng/cèng
岑	a small hill/(a surname)	cén
挝	beat	zhuā/wō
酥	flaky	sū
翌	bright/tomorrow	yì
睿	astute/perspicacious/farsighted	ruì
瘪	deflated/shriveled/sunken/empty	biě
氖	neon	nǎi
暧	obscure/clandestine	ài
唠	to chatter	láo/lào
螂	dragonfly/mantis	láng
竣	complete/finish	jùn
羔	lamb	gāo
瘢	mark/scar on the skin	bān
囱	window/chimney	cōng
闵	(surname)/feel compassion for	mǐn
孚	trust	fú
鳌	sea turtle	áo
叼	(v) hold sth in the mouth	diāo
鹉	parrot	wǔ
渭	name of a river	wèi
顼	grieved/anxious	xù/xū
嵩	lofty/name of a mountain in Henan	sōng
摒	arrange/drive off/expel	bìng
榨	salted vegetable/to extract	zhà
曝	to air/to sun	pù
戍	garrison	shù
诽	slander	fěi
氟	fluorine	fú
荀	(surname)	xún
笆	an article made of bamboo strips/fence	bā
碉	Tibetan stone house	diāo
攸	distant, far/adverbial prefix	yōu
雳	clap of thunder	lì
毡	felt	zhān
疣	nodule/wart	yóu
腓	calf of leg/decay/protect	féi
臆	feelings/opinion/thoughts	yì
癖	habit/hobby	pǐ
磐	firm/stable/rock	pán
筝	(mus. instr.)	zhēng
驿	remount stations	yì
讪	abuse/slander	shàn
抿	purse up (lips)/to smooth	mǐn
桅	mast	wéi
渲	wash (color)	xuàn
惴	anxious/worried	zhuì
秤	steel yard/scales, steelyard	chěng/chèng
谑		xuè
酵	yeast	jiào
愫	guileless/sincere	sù
霹	clap of thunder	pī
唆	incite/suck	suō
哝	garrulous	nóng
拌	to mix/mix in/to toss (a salad)	bàn
咀	chew	jǔ
怅	regretful/upset/despair/depressed	chàng
蛊	insanity/poison	gǔ
抨	attack/impeach	pēng
妊	be pregnant	rèn
渝	Chongqing	yú
黏	sticky	nián
醫		yī
荧	Polyeonatum officinale/glimmer/glimmering/dazzling/perplexed	yíng
矜	boast/esteem/sympathize	jīn
璐	(jade)	lù
迥	distant	jiǒng
跺	(v) stamp one's foot	duò
滇	Yunnan	diān
锚	anchor	máo
膺	breast/receive	yīng
恙	sickness	yàng
跷	raise one's foot	qiāo
拈		niān
鳄	crocodile/alligator	è
沽	buy/sell	gū
糜	dissolved/rice-gruel/wasted	mí
汛	high water/sprinkle water	xùn
藥		yào
蹿	jump up	cuān
烙	bake/flat iron/large cake	lào
萃	collect/collection/dense/grassy/thick/assemble/gather	cuì
坍	collapse	tān
袄	coat/jacket/short and lined coat or robe	ǎo
韶	(music)/excellent/harmonious	sháo
沂	name of a river	yí
亟	urgent, repeatedly/frequently	jí/qì
诠	explain/comment	quán
羌	educated/name of a tribe/strong	qiāng
哧		chī
噩	startling	è
弼	assist	bì
褥	mattress	rù
耆	man of sixty or seventy	qí
殃	calamity	yāng
觑	to spy/watch for	qù
甭	need not	béng
茬		chá
栩	Quercus serrata	xǔ
掣	pull/obstruct/hinder/draw	chè
钾	potassium	jiǎ
佚	(surname)/idle	yì
磺	sulfur	huáng
枷	cangue	jiā
篡	to seize/to usurp	cuàn
墩	block/gate pillar/pier	dūn
诣	go	yì
怂	arouse	sǒng
烹	cuisine/cooking	pēng
淤	silt	yū
饬	keep in order/stern/to order/direct	chì
鹦	parrot	yīng
珂	jade-like stone	kē
圃	garden/orchard	pǔ
铐	shackles, manacle	kào
蔼	friendly	ǎi
擂	beat/to grind, beat (a drum)	léi/lèi
蜕	exuviae of insects or reptiles	tuì
祺	felicity	qí
笈	trunks (for books)	jí
缤	helter-skelter/mixed colors/in confusion	bīn
髅	skull	lóu
堑	moat around a city	qiàn
劾	impeach	hé
蜷	Melania libertina/wriggle (as a worm)	quán
璧	piece of jade with hole in center	bì
诃	to blame/ridicule in loud voice	hē
憨	silly/simple-minded	hān
踞	be based upon/squat	jù
踵	arrive/follow/heel	zhǒng
炙	broil	zhì
漉	strain liquids	lù
崽	young of animals	zǎi
蛤	clam, frog/toad	gé/há
琵	(mus. instr.)	pí
铎	large ancient bell	duó
腑	internal organs	fǔ
噗	sound of escaping laughter/water	pū
抉	dig/pick	jué
弩	cross-bow	nǔ
颉	(surname)/fly upwards/neck	xié/jié
鬓	temples/hair on the temples	bìn
吆	shout	yāo
帧	frame/one of a pair (scrolls)/picture	zhèng/zhēn
狙	(ape)/to spy/lie in ambush	jū
堰	weir	yàn
彷	irresolute	páng
恪	(surname)/respectful	kè
呛	against wind, choke/pungent	qiāng/qiàng
惮	dread/fear/dislike	dàn
琶	(mus. instr.)	pá
沐	bathe/cleanse/receive favors	mù
黝	black/dark green	yǒu
苞	flower calyx/luxuriant/profuse	bāo
敕	imperial orders	chì
霓	rainbow	ní
揖	greet (by raising the joined hands)	yī
竺	(surname)	zhú
嗒	to despair	tà/dā
泵		bèng
楷	norm/model/(writing)	kǎi
秧	shoots/sprouts	yāng
钠	sodium	nà
褶	(arch.) court dress, pleat/crease	xí/zhě
绮	beautiful/open-work silk	qǐ
袒	to bare	tǎn
婷	graceful	tíng
皈	comply with/follow	guī
攘	throw into confusion	rǎng
榄	olive	lǎn
钗	hairpin	chāi
孰	who/which/what	shú
诘	investigate/restrain/scold	jié
冕	royal crown	miǎn
腋	armpit	yè
葵	sunflower	kuí
湄	brink/edge	méi
咔		kā
捻	twirl (in the fingers)	niǎn
鞅	martingale	yǎng/yāng
荃	(fragrant plant)	quán
帷	curtain/screen	wéi
卤	brine/salt/gravy, crass/halogen/salt/brine	lǔ
鸠	turtle-dove/Turtur orientalis	jiū
赘	superfluous	zhuì
侏	dwarf	zhū
曦	light of day	xī
笺	letter/note-paper	jiān
寅	3-5 a.m./3rd earthly branch	yín
呱	crying sound of child	gū/guā
憔	haggard	qiáo
蠕	to squirm/to wiggle/to wriggle	rú
碾	stone roller	niǎn
阜	abundant/mound	fù
蕃	flourishing/to reproduce	fán/fān
蟋	cricket	xī
雏	chick/young bird	chú
绚	adorned/swift	xuàn
甥	nephew	shēng
鹊	magpie	què
惘	desolate	wǎng
嗔	to be angry at	chēn
筏	raft (of logs)	fá
粱	sorghum	liáng
帛	silk	bó
嘈	bustling/tumultuous/noisy	cáo
峦	mountain ranges	luán
驭	manage/to drive	yù
蟒	Python molurus	mǎng
吮	to suck	shǔn
瘩	sore/boil/scab	dá
痔	piles/hemorrhoid	zhì
铢	forty-eighth part of a tael	zhū
犀	rhinoceros	xī
橙	orange tree/the color orange/orange	chéng
憧	irresolute/unsettled	chōng
箍	hoop/bind with hoops	gū
沓	(surname)/again and again/many	tà
蜒	slug	yán
蟀	cricket	shuài
瞟	cast a glance	piǎo
褒	to praise	bāo
漪	ripple	yī
瀚	ocean/vastness	hàn
茧	cocoon	jiǎn
哒	(phonetic)/command to a horse/clatter (of horses' hoofs)	dā
丕	grand	pī
乒	bing (onomat.)	pīng
沥	drip	lì
芹	Chinese celery	qín
锄	a hoe/to hoe or dig/to weed/get rid of	chú
叟	old gentleman	sǒu
鲨	shark	shā
捶	beat with the fist/to hammer/to cudgel	chuí
淄	black/name of a river	zī
捎	bring or take (along)	shāo
睾	bank/marsh/testicles	gāo
砾	gravel/small stone	lì
籽	seeds	zǐ
乓	bang (onomat.)	pāng
祁	(surname)	qí
怦	impulsive	pēng
掳	take captive	lǔ
玺	ruler's seal	xǐ
恬	quiet, calm, tranquil, peaceful	tián
匾	a tablet/a board with an inscription/a sign hung above a door, basket-couch in coffin	biǎn/pián
炬	torch	jù
饺	dumplings with meat filling	jiǎo
匮	(surname)/lacking/empty/exhausted	kuì
漩	eddy	xuán
蜗		wō
嫖	visit a prostitute	piáo
阙	deficiency, (surname)/imperial city	quē/què
阑	door-screen/exhausted/late	lán
衹		tǐ
刨	a plane/to plane/level or make smooth, a plane/to plane, eliminate/to dig/to question	bào/páo
吠	to bark	fèi
釜	kettle/caldron	fǔ
茹	eat/rubicene (chem.)	rú
酪	Chinese cream/cheese	lào
钵	alms bowl/small earthenware basin	bō
纂	compile	zuǎn
娠	pregnant	shēn
蹑	chase/step/tread	niè
馅	stuffing/forcemeat	xiàn
蘑	mushroom	mó
豢	feed pigs and dogs/to rear	huàn
馒	steamed bread	mán
瞳	pupil of the eye	tóng
揩	wipe	kāi
箫	(flute)/pan pipes/xiao - a vertical bamboo flute	xiāo
巅	summit	diān
撵	expel	niǎn
漾	d (23rd)/ripples	yàng
蒜	garlic	suàn
俾	to cause/to enable	bǐ
俨	majestic/dignified	yǎn
冗	extraneous	rǒng
聿	introductory part./pen	yù
圭	jade tablet	guī
瑾	brilliancy (of gems)	jǐn
汶	name of a river	wèn
橄	olive	gǎn
悸	afraid	jì
桢	evergreen shrub	zhēn
琅	(gem)/tinkling of pendants	láng
阪	a slope/hillside	bǎn
疙	pimple/wart	gē
酋	tribal chief	qiú
韬	bow case/to cover	tāo
悚	frightened	sǒng
搐	lead/pull	chù
倔	crabby/tough	jué/juè
攒	bring together, collect/hoard	cuán/zǎn
傩	exorcise demons	nuó
撬	to lift	qiào
撮	bring together/little bit/shovel/gather up/bring together/pick	cuō
拗	bend/break in two, stubborn/contrary	ào/niù
涎	saliva/shamelessly	xián
蛾	moth	é
氮	nitrogen	dàn
酣	intoxicated	hān
撂	to leave (it)	liào
晖	bright/radiant	huī
剌	to slash, cruel/obstinate	lá/là
骼	skeleton	gé
瑙	agate	nǎo
吝	stingy	lìn
苯	benzene	běn
喋	flowing flood/to chatter	dié
橘	tangerine	jú
肴	mixed/viands, meat dishes	yáo
逍	leisurely/easy-going	xiāo
戊	5th heavenly stem	wù
蹋	step on	tà
埠	a jetty/port/a city/quay	bù
惋	regret, be sorry/alarmed	wǎn
搔	disturb/to scratch	sāo
凋	withered	diāo
暨	and/reach to/the end	jì
漓	pattering (of rain)/seep through	lí
逵	crossroads/thoroughfare	kuí
嵋	name of a mountain in Sichuan	méi
龋	decayed teeth/dental caries	qǔ
攫	seize (bird or animal)	jué
磊	lumpy/rock pile/uneven	lěi
锌	zinc	xīn
赓	continue (as a song)	gēng
嚓		chā
徙	change one's residence	xǐ
恺	joyful/kind	kǎi
诲	admonish/instruct	huì
奂	(surname)/excellent	huàn
瓢	dipper/ladle	piáo
贻	bequeath	yí
憬	awaken	jǐng
澎	sound of waves	péng
噶	(phonetic)	gá
驹	colt	jū
亵	licentious	xiè
跤	bones of leg/wrestle	jiāo
痉	spasm	jìng
萤	firefly	yíng
唧	(onomat.)/to pump (water)	jī
烬	ashes/embers	jìn
醮	perform sacrifice	jiào
沅	name of a river	yuán
匍	crawl/lie prostrate	pú
嗷	loud clamor/the sound of wailing	áo
馋	gluttonous/greedy	chán
圪	(phonetic)	gē
睑	eyelid	jiǎn
娄	(star)/(surname)	lóu
迢	remote	tiáo
鳖	turtle	biē
甬	5 pecks (M)/Ningpo	yǒng
耘	to weed	yún
儡	injure/puppet	lěi
昊	clear summer sky/vast	hào
撸		lū
髻		jì
藕	root of lotus	ǒu
胱	bladder	guāng
跻	go up	jī
這		zhè
蹙	urgent/wrinkled/contracted/to kick	cù
鹄	swan/white-haired	gǔ/hú
镭	radium	léi
烽	beacon fire	fēng
鳎		tǎ
唷	(exclamatory part.)	yō
骋	hasten/run/open up/gallop	chěng
嘤	calling of birds	yīng
腆	make strong (as liquors)/virtuous	tiǎn
蹒	limp	pán
捋	stroke (beard), strip (cow, leaves, branch)	lǚ/luō/lǚ
龛	niche/shrine	kān
颚	jaw/palate	è
岬	cape (geog.)	jiǎ
雹	hail	báo
皋	bank/marsh	gāo
铬	chromium	gè
蜓	dragonfly	tíng
瞰	bird's-eye view/glance	kàn
岱	name of a mountain in Shandong	dài
韭	leek	jiǔ
痢	dysentery	lì
玷	blemish/disgrace/flaw in jade	diàn
垛	battlement/target, pile	duǒ/duò
梆	watchman's rattle	bāng
坷	uneven (path)/unfortunate (in life)	kě
嚅	chattering	rú
锭	ingot	dìng
闰	intercalary	rùn
湮	obscured/submerged, obscured/submerged	yān/yīn
瓮	earthen jar/urn	wèng
忐	nervous	tǎn
熵	entropy	shāng
筵	bamboo mat for sitting	yán
疵	blemish/flaw/defect	cī
蝎	scorpion	xiē
罡	(stars)	gāng
懵	stupid	měng
蛀	termite/to bore (of insects)	zhù
旌	banner/make manifest	jīng
隽	smart/eminent/talented	jùn
嵇	(surname)/name of a mountain	jī
痣	birthmark/mole	zhì
癣	ringworm	xuǎn
榈	palm tree	lǘ/lǘ
怆	mournful/sad/grieved/sorry	chuàng
轶	disperse/put in order/surpass	yì
臼	mortar	jiù
淞	name of a river	sōng
鑫	(used in names)	xīn
邯	name of a district in Hebei	hán
蚓	earthworm	yǐn
郸	name of a district in Hebei	dān
盹	doze/nap	dǔn
瓒	libation cup	zàn
阖	council-chamber/shelf/side door, entire (family)	gé/hé
蚣	scolopendra centipede	gōng
岖	rugged	qū
宕	dissipated/put off	dàng
轲	given name of Mencius	kē
鲫	bastard carp/sand perch	jì
伫	wait/look towards/turn one's back on	zhù
佼	handsome	jiǎo
桦	Betula japonica	huà
熹	bright/warm	xī
皑	white (of snow, etc.)	ái
睐	gaze/stare	lài
锹	shovel/to dig	qiāo
钡	barium	bèi
杞	(willow)/name of a feudal state	qǐ
鳗	eel/Anguilla lostoniensis	mán
缄	letters/to close/seal	jiān
稷	(millet)	jì
祛	to exercise	qū
掂	weigh in the hand	diān
谀	flatter	yú
馐	delicacies	xiū
牍	documents	dú
筱	dwarf bamboo/thin bamboo	xiǎo
酰	(chem.) -acyl/acid radical	xiān
豌	peas	wān
鼾	snore	hān
酮	ketone	tóng
溟	drizzle/sea	míng
檬	lemon	méng
嫔	virtuous woman	pín
锵	tinkling of small bells	qiāng
诩	brag/harmony/make known	xǔ
葆	dense foliage/to cover	bǎo
妩	flatter/to please	wǔ
嗬		hē
瞠	stare at something beyond reach	chēng
啬	stingy	sè
蚤	flea	zǎo
湍	to rush (of water)	tuān
髯	beard/whiskers	rán
潺	flow/trickle (of water)	chán
蹊	footpath	xī/qī
邙	name of a hill	máng
锺	(ancient measure)/(surname)	zhōng
椋	fruit	liáng
镐	a pick, bright/place name/stove	gǎo/hào
蜻	dragonfly	qīng
痞	swelling of the liver	pǐ
裆	crotch/seat of a pair of trousers	dāng
楔	to wedge/wedge	xiē
桧	Juniperus chinensis	guì
椿	Cedrela chinensis/father, tree of heaven	chūn/chún
谆	repeatedly (in giving advice)	zhūn
耙	a rake/harrow, a rake	bà/pá
寐	sleep soundly	mèi
喏	to salute/make one's curtsy	rě/nuò
茉	jasmine	mò
翱	soar/hover	áo
藓	mosses on damp walls	xiǎn
阉	castrate	yān
糠	husk	kāng
龈	gnaw/bite, gums	kěn/yín
蜈	centipede	wú
氦	helium	hài
疟	malaria, malaria	nuè/yào
麝	musk deer	shè
羲	(surname)/name of an emperor	xī
匝	go round	zā
颍		yǐng
镁	magnesium	měi
锢	obstinate disease/restrain/to stop	gù
牒	(official) document/dispatch	dié
蔗	sugar cane	zhè
谌	(surname)/faithful/sincere	chén
蛹	chrysalis/pupa	yǒng
箓		lù
谥	confer such title/posthumous title	shì
俸	salary	fèng
壬	9th heavenly stem	rén
嚏	sneeze	tì
笙	(mus. instr.)	shēng
恻	sorrowful	cè
谩	deceive, disrespect/neglect/slight	mán/màn
喙	beak/to pant	huì
砚	ink-stone	yàn
潼	high/name of a pass	tóng
胤	heir/inherit	yìn
谄	flatter/cajole	chǎn
捺	(downwards-right concave character stroke)/press down firmly	nà
咫	8 in. length unit of Zhou dynasty	zhǐ
虱	louse	shī
瀛	ocean	yíng
赡	to support/provide for	shàn
鸾	(mythical bird)	luán
溥	extensive/pervading	pǔ
痫	epilepsy/insanity	xián
诙	whimsical/humorous	huī
狰	hideous/fierce-looking	zhēng
馍	small loaf of steamed bread	mó
涸	to dry/to dry up	hé
槌	hammer/mallet/pestle	chuí
跛	lame/crippled	bǒ
囔	muttering, indistinct speech	nāng
炖	stew slowly, stew	dùn
煊		xuān
脐	navel	qí
疽	gangrene	jū
娩	give birth to a child, complaisant/agreeable	miǎn/wǎn
挎	(v) carry on one's arm/(v) carry over one's shoulder or slung on one's side	kuà
蚪	tadpole	dǒu
蓿		xu
嗟	sigh, sigh	jiē/juē
熠	to glow/flash	yì
瑕	blemish/flaw in jade	xiá
渥	enrich/moisten	wò
媲	to match/to pair	pì
馁	hungry	něi
骥	thoroughbred horse/refined and virtuous	jì
羚	antelope	líng
扈	retinue	hù
鲇		nián
掖	tuck (in)	yē/yè
橹	sculling oar	lǔ
糯	glutinous rice	nuò
螃	crab	páng
搪	keep out	táng
芥	mustard	jiè
裨	to benefit/to aid/advantageous/profitable, (surname)/assistant/small	bì/pi
赈	to relieve (the distressed)	zhèn
讷	large/speak cautiously	nè
萼	stem and calyx of flower	è
贰	two (fraud-proof)	èr
窠	nest	kē
淖	(surname)/slush/mud	nào
罹	happen to/sorrow/suffer from	lí
驸	prince consort	fù
娓	active/comply with	wěi
遽	hurry/fast/suddenly	jù
荪	fragrant grass	sūn
擞	shake/trembling	sǒu
鋆		yún
鹞	sparrow hawk/Accipiter nisus	yào
戾	do violence/go against	lì
洵	truly/whirlpool	xún
燎	singe	liáo
荟	flourish	huì
骰	cuboid bone/dice	tóu
祗	respectful (ly)	zhī
耷		dā
鸯	mandarin duck	yāng
秆	stalks of grain	gǎn
塾	private tutorage	shú
蝙	bat	biān
扉	door with only one leaf	fēi
蜿	to move (as snake)	wān
徵	levy (troops or taxes), note in Chinese musical scale	zhēng/zhǐ
痘	small pox	dòu
惬	cheerful/satisfied	qiè
姗	deprecate/lithe (of woman's walk)	shān
鸳	mandarin duck	yuān
偌	so/such/to such a degree	ruò
媛	a beauty, a beauty	yuán/yuàn
躏		lìn
遐	abandon/distant	xiá
槟	areca/the areca nut palm, areca	bīn/bīng
黜	dismiss/expel	chù
辍	stop/cease/suspend	chuò
诰	enjoin/grant (a title)	gào
蚌	oysters/mussels	bàng
僭	usurp	jiàn
犊	calf/sacrificial victim	dú
恫	frighten	dòng
馀	remainder	yú
翡	green jade/kingfisher	fěi
婵	beautiful/graceful	chán
厩	a stable	jiù
岌	lofty peak/perilous	jí
恿	urge/incite	yǒng
荼	Sonchus oleraceus	tú
腼		miǎn
惆	forlorn/vexed/disappointed	chóu
邃	deep/distant/mysterious	suì
镰	scythe/sickle	lián
嗳	(interj. of disapproval), (interj. of regret)	ǎi/ài
秸		jiē
璜	semi-circular jade ornament	huáng
灸	cauterize	jiǔ
庖	kitchen	páo
啾	wailing of child/chirp	jiū
薰	Coumarouna odorata	xūn
辕	shafts of cart/yamen	yuán
噎	choke	yē
萦	wind around	yíng
瘠	barren/lean	jí
晾	to dry in the air	liàng
蛔	roundworm/Ascaris lumbricoides	huí
孢	spore	bāo
珥	pearl or jade earring	ěr
绯	dark red/purple silk	fēi
涧	mountain stream	jiàn
刽	amputate, cut off	guì
缨	tassel of hat	yīng
孺	(surname)/child	rú
汕	Swatow	shàn
跚	limp	shān
呷	suck, swallow, drink	xiā/gā
镌	degrade/engrave (wood or stone)	juān
褚	(surname)	chǔ
蚯	earthworm	qiū
蘸	to dip in (ink, sauce, etc.)	zhàn
咂	smack one's lips	zā
汐		xī
癞	scabies/skin disease	lài
荔	litchi	lì
橇		qiāo
酗	drunk	xù
谧	quiet	mì
曜	dazzle/glorious	yào
滕	(surname)/place name	téng
漳	name of a river	zhāng
袤	length/distance from north to south	mào
纫	to string/to thread (needle)	rèn
盂	container/cup	yú
缮	make a fair copy of	shàn
荚	pod	jiá
籁	music/musical pipe with 3 reeds	lài
